c degrees:  6 
c girth: 8 max: 6.656780  
c desired: 1000
p cnf 250 1000
-19 185 -245 0
43 -224 -142 0
-34 152 40 0
-51 -198 147 0
131 146 141 0
-99 -150 -177 0
-181 30 -157 0
-98 -9 233 0
-128 46 -201 0
-18 -71 -217 0
-204 228 -226 0
96 -187 83 0
-191 97 16 0
-187 -65 -25 0
168 32 -52 0
-129 108 175 0
-57 -97 -213 0
47 -130 -164 0
169 110 -217 0
-7 -52 -48 0
-44 -85 -111 0
-188 171 -246 0
84 149 73 0
-171 -169 -81 0
-95 -75 -160 0
80 104 -63 0
-147 25 43 0
-163 99 -173 0
230 -240 -115 0
90 131 -230 0
-176 202 120 0
-165 -115 -112 0
-152 39 -149 0
-93 -148 -138 0
17 -42 55 0
241 32 -55 0
-10 177 -182 0
-213 111 22 0
14 -235 192 0
-223 244 -185 0
181 151 82 0
192 210 131 0
-142 136 -47 0
-234 11 -39 0
212 100 160 0
107 157 -180 0
194 87 222 0
95 187 213 0
102 -69 -140 0
209 -180 -249 0
-161 -134 228 0
188 -11 -206 0
-177 -7 -110 0
41 -22 145 0
151 -47 187 0
106 -114 -213 0
-88 -16 171 0
-192 -151 -3 0
-75 -87 47 0
193 129 -12 0
16 -178 -151 0
38 -161 63 0
-215 5 9 0
-200 -25 -145 0
149 144 -115 0
214 -31 -107 0
23 24 215 0
25 124 235 0
145 236 -50 0
19 -102 -196 0
240 -194 -193 0
-79 -155 -205 0
-24 -237 23 0
150 87 108 0
-61 47 27 0
-224 -3 -58 0
78 32 -31 0
-84 -158 -221 0
98 -242 29 0
216 -228 134 0
-155 9 -164 0
18 169 186 0
157 -46 -4 0
28 -196 249 0
129 167 203 0
-140 198 247 0
-112 68 -65 0
87 23 47 0
-80 -153 67 0
191 146 -106 0
-173 -49 -74 0
-184 -35 185 0
218 175 -91 0
126 200 -203 0
-244 -236 -29 0
35 9 -229 0
92 216 119 0
-1 109 -61 0
-196 -213 43 0
65 -195 -137 0
-193 -116 -229 0
249 79 150 0
-116 -100 190 0
223 -80 109 0
134 -20 129 0
-81 -7 -121 0
135 105 -191 0
175 153 -227 0
-5 -55 239 0
-179 202 -180 0
-225 -74 -103 0
-70 -122 -100 0
-87 125 -202 0
53 -79 193 0
-96 69 231 0
167 -3 -72 0
-83 -169 79 0
20 -56 24 0
-33 178 135 0
4 -54 -240 0
99 139 -113 0
-138 2 210 0
207 -202 160 0
-119 136 -133 0
-242 -225 89 0
13 75 220 0
-114 218 -65 0
-125 -99 67 0
142 118 -104 0
-72 123 -138 0
153 45 -237 0
114 60 106 0
127 38 -77 0
-209 184 -139 0
110 204 -70 0
40 -114 149 0
-202 -227 139 0
-73 95 35 0
-180 141 -203 0
68 -193 133 0
112 -36 56 0
-41 -141 162 0
-94 178 31 0
-205 241 -47 0
-82 36 -131 0
-89 95 170 0
177 -210 144 0
32 108 212 0
-63 -11 237 0
-117 17 186 0
-68 -38 -59 0
113 57 37 0
162 -139 206 0
-221 -237 -104 0
81 -211 -15 0
116 -212 154 0
187 249 13 0
-230 101 227 0
-229 59 -67 0
52 117 -9 0
215 113 -205 0
-115 -156 -243 0
