c degrees:  6 
c girth: 6 max: 6.656780  
c desired: 1000
p cnf 250 1000
-167 -24 -46 0
192 -213 -167 0
-34 -73 8 0
213 -129 -2 0
152 -158 39 0
-30 -197 -143 0
225 240 -21 0
-56 -42 124 0
-98 242 12 0
-216 -168 206 0
129 56 114 0
51 33 230 0
82 231 65 0
8 200 -221 0
-148 154 95 0
172 155 234 0
56 -153 96 0
52 163 203 0
-85 -154 -173 0
189 -97 -54 0
-49 -146 -9 0
162 220 -114 0
125 5 155 0
155 189 -183 0
102 242 222 0
-29 -141 -67 0
161 247 -45 0
-57 -225 -232 0
-195 -14 -30 0
-218 -85 32 0
229 -112 9 0
133 153 51 0
-150 -114 141 0
-170 -199 47 0
182 -83 198 0
239 -16 215 0
198 191 -135 0
-2 57 -191 0
138 11 -164 0
-163 -216 -50 0
-5 -58 101 0
-177 104 -7 0
216 -159 -176 0
203 -227 48 0
-47 -33 187 0
-215 -115 -28 0
-55 -124 112 0
-146 234 85 0
-184 167 -197 0
-76 -64 -198 0
193 7 -96 0
-223 61 208 0
244 -185 -151 0
181 202 -40 0
-131 197 -119 0
31 30 -159 0
-116 248 135 0
30 188 -26 0
-73 -139 -119 0
50 -201 162 0
-192 -90 117 0
242 42 -1 0
-101 226 58 0
154 -249 84 0
128 250 -32 0
177 -155 25 0
190 -148 245 0
-250 78 149 0
243 164 99 0
-37 148 -175 0
12 -197 -168 0
201 203 182 0
-219 120 227 0
-12 200 -231 0
54 170 -70 0
-70 77 -169 0
-60 162 -165 0
238 220 -115 0
218 -76 -160 0
-156 -249 239 0
-23 148 -242 0
-117 149 -165 0
126 -247 134 0
-95 -248 12 0
-249 129 197 0
-113 166 194 0
-141 -237 -74 0
-43 204 -80 0
81 115 35 0
-203 -204 247 0
-51 -82 -116 0
93 28 -212 0
-236 59 -106 0
202 -19 190 0
-193 -167 -99 0
-145 -28 -164 0
-7 -234 162 0
27 -129 -10 0
-154 246 -14 0
-8 -208 70 0
