c degrees:  6 
c girth: 8 max: 6.822736  
c desired: 1200
p cnf 300 1200
295 -91 -206 0
28 -215 236 0
-215 268 -200 0
-196 -27 11 0
-29 -8 212 0
-32 -185 57 0
255 -63 -214 0
-128 -198 281 0
217 153 117 0
-67 -258 -212 0
42 56 -17 0
-101 179 196 0
-95 239 25 0
-122 55 -217 0
237 -43 236 0
-229 212 -127 0
73 155 294 0
-75 -65 28 0
-36 153 -253 0
-272 -123 -78 0
-219 16 -189 0
138 -275 -173 0
-154 207 23 0
-105 286 238 0
67 203 57 0
168 -92 195 0
79 197 -145 0
158 -298 -277 0
59 -221 225 0
-106 -80 279 0
105 257 -100 0
-150 162 98 0
-23 -45 -232 0
-205 -192 61 0
-132 -102 -56 0
125 4 -212 0
-117 73 268 0
-170 -249 -209 0
-175 -241 89 0
-22 54 235 0
66 293 -289 0
82 -160 -149 0
-237 -64 23 0
-89 269 205 0
72 78 -289 0
187 116 -270 0
-85 291 -152 0
-242 -16 121 0
248 -185 242 0
-13 93 36 0
64 -170 -300 0
225 -255 132 0
-118 -131 -74 0
-33 270 20 0
-53 131 -115 0
-280 70 -263 0
-76 -31 286 0
-176 59 -96 0
-4 -207 189 0
177 -22 -62 0
129 157 180 0
-278 83 -97 0
92 172 -118 0
281 -93 -173 0
212 45 162 0
-78 -131 -8 0
264 37 204 0
-129 -271 154 0
-172 151 -160 0
166 -222 59 0
4 161 264 0
210 229 -93 0
89 -174 -264 0
-70 204 130 0
-24 49 -31 0
21 146 90 0
232 12 -219 0
-11 -114 277 0
-134 79 46 0
-296 -259 -283 0
-228 -5 207 0
-112 -298 -105 0
-261 2 -39 0
-97 -234 15 0
-180 114 -6 0
-206 15 -71 0
-151 205 -111 0
90 143 102 0
58 161 -177 0
-57 -176 263 0
-246 246 -53 0
-268 -125 -28 0
152 -121 -180 0
-263 -232 -62 0
153 -250 26 0
227 151 127 0
-240 -135 -96 0
-113 -194 40 0
299 -194 -267 0
-20 -78 2 0
-179 235 -133 0
-92 -78 21 0
270 -41 51 0
222 110 190 0
5 -149 -165 0
249 20 -121 0
286 204 -229 0
-182 -105 295 0
-286 199 -233 0
18 298 96 0
-259 -26 -142 0
-279 174 241 0
-203 134 -262 0
287 -135 199 0
-126 -268 147 0
181 130 -159 0
-19 -235 141 0
-161 -216 109 0
-115 -176 127 0
-125 61 149 0
-189 -252 219 0
56 -187 -75 0
283 82 -42 0
186 -276 -81 0
-142 287 159 0
271 -163 251 0
124 107 -201 0
-210 109 -199 0
-35 101 39 0
-162 -208 -255 0
103 18 290 0
-5 -179 -292 0
-121 -202 268 0
-80 37 295 0
252 211 117 0
-110 85 -89 0
231 219 -12 0
224 261 -222 0
-25 237 -184 0
128 83 -277 0
273 -13 -120 0
101 130 182 0
-260 -271 197 0
-79 -22 -65 0
136 142 -150 0
263 194 -29 0
32 68 275 0
61 48 14 0
241 100 47 0
213 105 135 0
-247 -243 300 0
-285 -34 67 0
-66 72 -77 0
159 -291 -128 0
141 -229 205 0
-124 100 126 0
267 -150 -152 0
269 290 -73 0
-281 -107 -267 0
76 276 9 0
53 -69 202 0
-74 254 128 0
-293 264 -133 0
-220 42 -86 0
87 194 -125 0
-243 -31 71 0
-37 -143 58 0
-8 48 -80 0
-138 210 139 0
-248 -201 -188 0
160 175 -237 0
275 -108 -4 0
29 198 188 0
-257 -148 -64 0
185 -119 254 0
107 -159 21 0
-291 89 -58 0
-69 -263 112 0
78 -170 113 0
137 -121 218 0
-152 -105 -55 0
190 92 119 0
211 103 228 0
235 50 -2 0
262 74 79 0
-209 186 -153 0
294 -73 265 0
293 -278 -79 0
-160 123 -198 0
216 70 -139 0
20 -63 -208 0
-214 -263 -181 0
-31 -23 -95 0
161 -219 128 0
-252 82 266 0
111 -226 -128 0
230 23 -125 0
164 -49 269 0
24 246 -149 0
-14 292 -54 0
15 -84 198 0
19 -141 -85 0
272 239 253 0
-82 43 248 0
-165 111 -23 0
108 76 170 0
-262 252 -49 0
-16 -1 -45 0
-174 183 87 0
223 -79 -244 0
-131 120 66 0
-169 -212 -269 0
30 -234 -23 0
-47 27 -186 0
-275 192 -219 0
