c A permuted SAT Competition 2007 formula with seed=2143506940
p cnf 700 3500
-19 -600 -659 0
362 567 -159 0
-685 -104 -167 0
-478 -511 -172 0
161 542 611 0
697 -208 103 0
-538 606 235 0
626 -687 -545 0
-364 219 -314 0
-186 -509 -334 0
-603 51 -357 0
-290 67 306 0
-237 -373 -419 0
-637 -600 -168 0
-575 596 557 0
-107 -537 -437 0
87 -468 -234 0
266 349 615 0
493 369 -699 0
-382 401 179 0
-358 -603 -141 0
-523 599 -54 0
72 276 -422 0
-118 147 -303 0
111 -592 585 0
447 -244 -180 0
370 265 -277 0
-123 660 459 0
-527 -514 89 0
430 -415 159 0
-83 520 -327 0
-544 -433 148 0
-619 -212 30 0
36 229 -275 0
11 277 146 0
513 348 610 0
-137 -56 -364 0
651 539 117 0
-360 -303 494 0
544 566 355 0
-238 -32 251 0
-171 -609 213 0
-109 374 137 0
519 -64 418 0
51 353 -136 0
319 -264 437 0
450 699 463 0
593 643 -594 0
-329 -530 294 0
-402 138 -240 0
-119 141 582 0
-593 -233 238 0
43 -139 56 0
621 695 -530 0
-405 -461 -634 0
622 -410 29 0
-255 171 313 0
650 390 172 0
-628 418 133 0
-278 -366 506 0
160 -55 300 0
397 618 -300 0
-560 143 -390 0
-497 -475 636 0
686 3 305 0
-573 -424 -419 0
3 394 -150 0
21 -512 -593 0
-121 203 -311 0
-658 407 395 0
395 175 -345 0
418 -427 -140 0
-101 -416 -388 0
-395 -486 -683 0
-659 324 -69 0
-532 483 -357 0
-3 84 342 0
-270 212 83 0
516 605 -596 0
-600 -132 -257 0
-385 -363 82 0
-303 636 159 0
-407 116 -379 0
-58 -314 -151 0
15 -155 43 0
-228 -284 -691 0
-648 52 -480 0
291 -602 -401 0
152 460 -416 0
171 64 265 0
327 135 -307 0
-276 -331 -521 0
-281 644 50 0
584 -113 347 0
-682 518 -374 0
-61 107 -334 0
205 -52 626 0
553 -232 -95 0
303 677 202 0
-416 439 -375 0
393 183 -278 0
653 83 160 0
-388 -120 -437 0
441 509 -486 0
563 -285 -425 0
-184 312 -606 0
-644 -596 -360 0
485 -61 150 0
-665 619 489 0
627 -67 -300 0
475 56 300 0
327 580 67 0
545 336 -8 0
-39 -406 -584 0
12 -694 -531 0
40 64 -355 0
292 466 587 0
-176 -476 -496 0
328 -348 125 0
-279 498 627 0
-85 165 190 0
-102 -159 -160 0
-228 -175 605 0
621 369 -597 0
-642 81 -172 0
-541 -50 253 0
492 571 556 0
-142 -78 -497 0
-99 576 481 0
-455 -20 157 0
-580 -666 -586 0
272 324 102 0
115 417 607 0
264 -558 329 0
243 127 -364 0
-112 93 -473 0
286 -657 -677 0
621 561 -151 0
517 216 594 0
457 -392 -572 0
206 143 391 0
-340 -298 631 0
-269 -651 254 0
-306 -384 307 0
101 7 -546 0
56 -431 -115 0
-677 -508 75 0
675 -184 75 0
696 542 -644 0
-40 678 686 0
-34 -589 59 0
-534 622 -422 0
-435 515 377 0
-171 119 532 0
373 191 506 0
-510 671 311 0
-117 -629 360 0
-180 589 -667 0
-640 -314 249 0
-319 470 -179 0
148 606 287 0
-104 96 -576 0
-29 -222 499 0
591 -178 327 0
-460 612 -216 0
676 -530 -432 0
-227 603 282 0
-435 -360 -38 0
77 -229 368 0
375 -313 -354 0
472 -666 -526 0
-636 54 621 0
430 274 413 0
-206 422 147 0
185 -402 39 0
-75 622 -24 0
541 -658 -4 0
147 -7 -212 0
120 -553 -304 0
230 61 -46 0
-642 -386 -343 0
-607 6 585 0
604 58 -348 0
-77 497 603 0
-558 219 -392 0
-615 -666 454 0
-553 -514 461 0
208 -508 567 0
-601 254 217 0
-100 313 -136 0
-390 -590 -99 0
664 -357 -272 0
260 -626 47 0
259 -134 182 0
-10 638 360 0
535 583 -136 0
356 526 -298 0
-571 -125 -167 0
106 37 -101 0
503 -578 -595 0
38 -94 40 0
138 32 -289 0
432 -616 127 0
203 -71 -507 0
171 -108 608 0
512 -121 -125 0
-376 442 -129 0
-591 -700 -411 0
-654 -547 490 0
158 -502 -268 0
-31 154 -543 0
324 1 73 0
-645 64 -15 0
-281 177 -586 0
-627 -290 -15 0
-199 164 -114 0
330 158 -656 0
-114 -563 1 0
147 -420 -293 0
-588 -452 339 0
567 -109 -309 0
644 557 -222 0
-532 -610 -505 0
-501 674 -131 0
-276 682 -379 0
536 -47 349 0
-116 -571 -628 0
64 320 -573 0
-592 323 230 0
560 264 602 0
606 300 -427 0
145 395 -573 0
-170 657 193 0
-239 -536 458 0
216 56 540 0
456 -474 -599 0
592 -594 362 0
-6 -653 547 0
-249 -346 71 0
336 -342 554 0
-104 -542 -330 0
647 691 -539 0
-397 459 189 0
-690 -149 -310 0
469 674 -472 0
-478 469 527 0
427 369 457 0
-312 -180 343 0
-453 -86 -397 0
484 -75 699 0
-380 -70 -394 0
-375 -462 455 0
237 141 324 0
-543 418 -377 0
571 -382 -590 0
630 605 -90 0
387 683 -197 0
-474 490 283 0
490 -531 -91 0
137 -16 -575 0
-453 -543 -72 0
-394 77 -59 0
499 228 -401 0
298 -498 -558 0
346 -340 -289 0
-416 -680 -482 0
99 -329 571 0
82 225 -314 0
-474 402 -524 0
-104 14 -159 0
-126 580 -411 0
174 -18 -317 0
693 134 -318 0
-681 -153 338 0
65 351 573 0
-282 -419 252 0
-407 173 -697 0
524 612 269 0
436 472 244 0
394 263 580 0
76 255 -453 0
601 34 598 0
618 -149 -178 0
69 -60 392 0
-420 254 180 0
541 489 -217 0
-531 642 256 0
646 -579 371 0
-195 -664 -613 0
619 -286 674 0
-64 -294 -316 0
642 -249 248 0
-323 626 64 0
138 593 -633 0
-3 -613 529 0
-567 -621 -450 0
681 -469 620 0
-638 -644 9 0
599 -186 -244 0
-488 -308 -206 0
-471 -613 152 0
-474 -356 -257 0
555 -386 283 0
-225 -351 514 0
511 152 209 0
-110 -480 341 0
-80 339 -33 0
230 -159 -175 0
643 237 680 0
23 -73 663 0
-507 74 599 0
99 229 186 0
-456 453 513 0
-175 19 -577 0
-56 154 -666 0
-245 212 -353 0
-397 206 361 0
-399 99 -273 0
130 187 132 0
443 -669 -408 0
-121 -664 -43 0
530 -508 -146 0
267 -84 664 0
80 -442 322 0
206 363 -694 0
-401 19 74 0
-340 -43 -2 0
-170 159 -656 0
-169 333 324 0
612 341 14 0
-663 -508 622 0
365 -143 407 0
597 41 -358 0
-268 -187 632 0
-277 551 225 0
-534 -559 -315 0
-573 -294 -282 0
-555 80 -225 0
545 -501 106 0
666 201 417 0
147 -23 -308 0
-276 -92 -36 0
643 -154 421 0
-467 -5 -228 0
-593 213 -411 0
602 -220 -323 0
-53 -153 363 0
-89 -543 -383 0
-533 -107 -335 0
294 -159 -696 0
-484 -674 -161 0
121 -84 495 0
-519 37 -31 0
-493 254 -686 0
-11 423 -475 0
-38 407 -668 0
678 -87 -12 0
-259 539 171 0
334 -2 683 0
393 455 66 0
-176 -374 425 0
-95 -389 -364 0
-225 374 -615 0
-573 -651 -274 0
-670 96 -518 0
182 -52 602 0
-427 -234 276 0
383 514 524 0
659 400 370 0
505 662 -419 0
-562 -525 609 0
251 205 672 0
444 -542 122 0
370 -509 -434 0
60 -335 171 0
-560 -416 -223 0
-679 -403 -19 0
-183 -32 -118 0
-531 -506 369 0
-508 347 -362 0
-439 -365 -94 0
-121 -272 -157 0
286 64 -411 0
31 -657 -349 0
496 385 -696 0
385 -681 -550 0
-665 260 -449 0
95 -627 -390 0
560 -263 156 0
-96 247 -343 0
-697 341 -305 0
119 -286 -418 0
-646 -320 -509 0
-333 -48 251 0
357 72 -2 0
-224 -214 400 0
65 -361 421 0
-625 -233 268 0
-31 -627 -574 0
-82 381 455 0
27 -374 -147 0
215 100 16 0
-196 681 -435 0
259 -637 -42 0
365 -324 22 0
41 102 -111 0
587 111 -300 0
331 380 383 0
-236 586 485 0
-116 338 527 0
322 29 -668 0
-228 595 646 0
-482 99 197 0
635 -552 -487 0
2 -287 -502 0
-29 -447 -94 0
684 -374 -494 0
48 503 25 0
193 13 71 0
-636 190 -533 0
-118 -173 517 0
674 -340 -356 0
-7 273 537 0
-550 -178 -612 0
-65 -640 -9 0
286 510 12 0
318 -679 369 0
-561 -283 163 0
150 286 333 0
55 689 -561 0
-574 176 197 0
368 -181 -646 0
239 -349 -682 0
-460 130 -418 0
229 -56 -349 0
-508 323 -19 0
58 307 194 0
-136 108 -420 0
-614 50 -170 0
-612 523 407 0
-93 290 -680 0
