c SAT09-Contest Parameters: unif k=3 r=4.25 v=560 c=2380 seed=565763763
c Uniform UNKNOWN KSAT Instance k=3, nbc=2380, nbv=560, seed=565763763
p cnf 560 2380
-281 448 -308 0
85 341 99 0
-240 -389 353 0
521 424 -395 0
28 -277 461 0
186 -428 457 0
274 77 -283 0
-152 376 -167 0
-89 443 256 0
70 106 91 0
-266 -188 -349 0
309 -66 -117 0
1 -311 -248 0
544 44 -289 0
-144 24 145 0
-255 390 544 0
-527 -241 118 0
380 -66 493 0
47 90 -344 0
390 178 -176 0
-527 -172 313 0
-535 448 -311 0
13 -122 -261 0
-391 -532 -397 0
299 -242 -79 0
238 288 401 0
4 -319 -30 0
-455 200 -120 0
-70 207 431 0
356 269 -86 0
454 392 171 0
-221 48 65 0
-48 120 -535 0
147 189 85 0
-396 229 477 0
-452 -76 551 0
516 -421 190 0
-81 443 -485 0
439 -461 425 0
128 -426 -365 0
-110 -152 540 0
432 353 -499 0
216 -220 -516 0
216 -166 -402 0
-341 -89 50 0
-401 -384 344 0
-316 547 119 0
-274 301 -484 0
-31 -112 -219 0
-490 221 144 0
217 472 365 0
296 392 -375 0
484 -289 -21 0
-479 351 249 0
544 -8 -197 0
-474 -137 454 0
-80 62 470 0
-421 -524 57 0
361 -36 -6 0
161 -463 -193 0
320 -513 -492 0
-397 -35 -483 0
334 -338 493 0
-282 370 -444 0
43 364 213 0
-44 103 -428 0
-402 -45 163 0
-381 310 -234 0
-552 -535 274 0
176 463 -260 0
-537 88 299 0
-113 -220 -15 0
-124 319 553 0
116 -508 346 0
509 -536 501 0
-527 539 -556 0
-9 -416 265 0
50 266 -262 0
360 -242 -468 0
-527 -548 268 0
178 406 288 0
432 -509 525 0
-158 42 -382 0
-121 488 -389 0
-444 397 -306 0
386 -171 552 0
410 -330 154 0
-389 350 498 0
-391 272 86 0
212 477 121 0
-64 373 60 0
-276 -305 284 0
-533 -92 322 0
231 88 -470 0
42 -143 170 0
-180 -210 467 0
-356 -179 229 0
-557 13 -522 0
118 486 136 0
-379 -517 -136 0
224 360 -307 0
142 449 203 0
221 318 288 0
-8 -472 -51 0
328 -224 390 0
411 -114 487 0
476 -523 -388 0
-481 -364 282 0
518 498 223 0
476 418 274 0
-499 -301 -334 0
-473 295 53 0
-41 -170 212 0
496 181 38 0
-422 394 94 0
527 -232 85 0
-494 254 434 0
350 -280 319 0
412 -100 128 0
436 90 -268 0
-376 216 -501 0
-52 -299 -103 0
-51 -86 -412 0
-261 -98 296 0
496 -214 440 0
209 155 303 0
165 530 98 0
75 524 -478 0
-4 -79 537 0
326 -545 498 0
-461 120 -12 0
150 -215 79 0
191 461 -313 0
529 -556 -417 0
-421 445 162 0
-270 530 -117 0
251 -158 386 0
-218 -389 -169 0
-498 -457 185 0
-466 -496 452 0
174 -158 550 0
125 541 146 0
-518 382 483 0
-488 128 353 0
-138 -359 -49 0
170 -411 366 0
43 81 -212 0
389 30 -516 0
200 372 -268 0
-80 422 479 0
129 133 417 0
-380 429 482 0
-127 250 519 0
108 88 -486 0
